revision_num,change_id,url,iteration_count,before_commit_id,after_commit_id,at_least_one_updated_java_file,T(created),T(merged),LOC changed,subject,message,cr_smell_lack_of_cr,cr_smell_ping_pong,cr_smell_sleeping_reviews,cr_smell_missing_context,cr_smell_large_changesets,cr_smell_review_buddies,at_least_one_cr_smell,code_smells_difference_count,is_increased
84,Id6f30efd6a4d10a4f1946e92dc54e51972166be9,https://git.eclipse.org/r/#/c/84,4,f688a65469d8cfa006b1413210e0e4d7127e2f44,1bd6827f5fd407589f240802be47ff1abadfbced,1,01/12/09,01/12/09,120,ConnectProviderOperation uses git repositories which has been selected by user,"ConnectProviderOperation uses git repositories which has been selected by
user

ConnectProviderOperation tries to connect only projects provided by
getProjects() method in ExistingOrNewPage. This method returns a list of
projects. But a mapping between project and git repository directory is
never used and lost.

Then it tries to find repository by himself using RepositoryFinder's
method find(IProgressMonitor). Logic of this method was fixed and it
returns more then one RepositoryMapping for a project nested into other
git repository. But this isn't expected by ConnectProviderOperation and
it wouldn't even try to connect such project.

Now it's fixed:
- method getProjects() in ExistingOrNewPage returns Map<IProject, File>
  instead of IProject[]. It provides information about git repositories
  which has been selected by user for each project. If a git repository
  path is absolute (it was just created) it will make it relative to the
  project's root.
- ConnectProviderOperation uses Map<IProject, File> instead of IProject[]
  and will connect project to git repository only if it has been founded
  in repository mappings provided by method find(IProgressMonitor) for a
  given project.

Bug: 291303
Change-Id: Id6f30efd6a4d10a4f1946e92dc54e51972166be9
Signed-off-by: Mykola Nikishov <mn@mn.com.ua>",0,1,0,0,0,0,1,0,0
85,I8007e52ee0aa33db008b352a23c09bc9d567f66d,https://git.eclipse.org/r/#/c/85,2,50d66824ac4b1ba6729b6fa9bc0f10910055956f,17b82172df13d3ecb97fc0c7d2b5bce74d4ba61a,1,31/10/09,31/10/09,132,Remove trailing whitespace across EGit,Remove trailing whitespace across EGit,0,0,0,1,0,0,1,0,0
88,I5042d65cbb8370d3457e5e0adb0fa472dba5814d,https://git.eclipse.org/r/#/c/88,3,af8d1ff1e9a9125a1d53347e44a831657c1b5942,33099a76777020d08dcf399aa5a823aea07bc621,0,01/12/09,01/12/09,11,EGit feature does not provide org.eclipse.jgit but depends on JGit feature,"EGit feature does not provide org.eclipse.jgit but depends on JGit feature

Fixes Bug: https://bugs.eclipse.org/bugs/show_bug.cgi\id=291524

Change-Id: I5042d65cbb8370d3457e5e0adb0fa472dba5814d
Signed-off-by: Matthias Sohn <matthias.sohn@sap.com>",0,0,0,0,0,0,0,NA,NA
89,I14465ec46bbabfee455f8dc7684d926760fa8bd7,https://git.eclipse.org/r/#/c/89,3,c352ea1663a1253833e1612321250be844de8285,4df65703647d2a758378671555f5665cc1508c98,0,01/12/09,01/12/09,10,Improve org.eclipse.egit branding plugin,"Improve org.eclipse.egit branding plugin

Branding plugin doesn't need Java nature.
Improve meaningless about text.

Change-Id: I14465ec46bbabfee455f8dc7684d926760fa8bd7
Signed-off-by: Matthias Sohn <matthias.sohn@sap.com>",0,0,0,0,0,0,0,NA,NA
92,I578179a6108d5d8386f794f81ea777cecaa043a2,https://git.eclipse.org/r/#/c/92,2,0c1bc0e99ede6d0df6507d83c2bf46fd92f7ecd4,39504bc9b444fde3f1a7335ac6baa0d1e344dae2,0,28/10/09,28/10/09,1,Specify explcitly that unit tests should be run in UI thread,"Specify explcitly that unit tests should be run in UI thread

Every time when launch configuration opened in a 'Run
configurations...' dialog a parameter 'Run in UI thread' would be set
to true. Launch configuration file would be modified unnecessarily
when user runs it. So this value has been set explicitly to prevent
this annoying behavior.

Change-Id: I578179a6108d5d8386f794f81ea777cecaa043a2
Signed-off-by: Mykola Nikishov <mn@mn.com.ua>",0,0,0,0,0,0,0,NA,NA
93,Ibda750e8901e294262f6601f12f90fc004a41fbd,https://git.eclipse.org/r/#/c/93,2,39504bc9b444fde3f1a7335ac6baa0d1e344dae2,275a53ebf7be32de7c80d1469eceff9ed440c440,1,12/11/09,12/11/09,3,Fix assert for a project in a non-existed git repository,"Fix assert for a project in a non-existed git repository

Test project was created in the directory where there is no git
repository and it's not nested into another existed repository. It's
strange to expect that this project will be shared.

Change-Id: Ibda750e8901e294262f6601f12f90fc004a41fbd
Signed-off-by: Mykola Nikishov <mn@mn.com.ua>",0,0,0,0,0,0,0,0,0
94,I07c6bda038ae420c2d3be97d0b0fbfa1f5c4a45a,https://git.eclipse.org/r/#/c/94,2,a2e4dab07984930cb9ad6511b1bda035d6fc5a58,ff621decaebc4f51330869ae70624f6c9d3fced2,0,01/12/09,01/12/09,13,Assert there are no other git repositories in a parent directories,"Assert there are no other git repositories in a parent directories

Change-Id: I07c6bda038ae420c2d3be97d0b0fbfa1f5c4a45a
Signed-off-by: Mykola Nikishov <mn@mn.com.ua>",0,0,0,1,0,0,1,NA,NA
95,I9d8d548fa8ebc697467f33a387ad2ae8ba78f022,https://git.eclipse.org/r/#/c/95,2,20af73be57ffb6e54d55db02a96341a5c66ad62b,f54f3ca8e50733a3bb2c8f52880122b58a1b992b,1,01/12/09,01/12/09,17,Remove a test project from workspace before creation,"Remove a test project from workspace before creation

Creating a test project when it exists throws:

    org.eclipse.core.internal.resources.ResourceException: Resource '/Project-1' already exists.

Change-Id: I9d8d548fa8ebc697467f33a387ad2ae8ba78f022
Signed-off-by: Mykola Nikishov <mn@mn.com.ua>",0,0,0,0,0,0,0,0,0
105,I6af106314729bf123257ee13d2dad5c76f50eb04,https://git.eclipse.org/r/#/c/105,3,19b67aa66649040e122d962eef7c0b460efac67c,9e1cebaef80ffc1a45ae55e260ede68d39fe14e1,1,01/02/10,01/02/10,165,Show the diff to previous version in history view,"Show the diff to previous version in history view

The content is filtered by the same filter as the list of files in the
CommitFileDiffViewer (the table on the lower right of the view).

The diff is only shown for the case of one parent, i.e. merge commits
are still omitted.

Change-Id: I6af106314729bf123257ee13d2dad5c76f50eb04
Signed-off-by: Stefan Lay <stefan.lay@sap.com>",0,0,0,0,0,0,0,0,0
109,If7214ca8bf10439e7e27b424864742a10dd8b766,https://git.eclipse.org/r/#/c/109,2,2da3e2cde2d1e018ef9d8c5c72ce17901d8b0b12,e9b006815109600d29b8ee6dcca57dc90b483ec5,1,01/12/09,01/12/09,25,RepositoryFinder to work with linked folders,"RepositoryFinder to work with linked folders

When displaying the path to a repository contained within a linked
folder, use the path of the linked folder within the project as
the prefix of the repository location as the repository location
string is relative to that folder.

When a tree node is selected without a project, use the parent tree
node to acquire the project.

Change-Id: If7214ca8bf10439e7e27b424864742a10dd8b766
Signed-off-by: Shawn O. Pearce <spearce@spearce.org>",1,0,0,0,0,0,1,0,0
114,I66419ffab7078f623f2942a75a01274699825b19,https://git.eclipse.org/r/#/c/114,3,9474ec460fa45736992449f3ee7f549756fa48e5,3eae992c7f94f9704e5575a9df1db9758678b56e,1,01/12/09,01/12/09,9,Replace a hard-coded default remote's name with a constant,"Replace a hard-coded default remote's name with a constant

Change-Id: I66419ffab7078f623f2942a75a01274699825b19",0,0,0,1,0,0,1,0,0
116,If3c61a2a8454277cb4299472a9a4413ca2fd4421,https://git.eclipse.org/r/#/c/116,2,68715fe02613d73f416584780b6bd35fd55d4f22,f3ac6a20b446e5a46affd2761e5b95ce59a1051c,1,22/12/09,22/12/09,12,Move method to get a suggested directory name to a static URIish.getHumanishName(String),"Move method to get a suggested directory name to a static
URIish.getHumanishName(String)

Change-Id: If3c61a2a8454277cb4299472a9a4413ca2fd4421",0,0,0,1,0,0,1,0,0
117,I5018018e97d0c5305e265feb47105fc8c676e391,https://git.eclipse.org/r/#/c/117,2,5ca5aef6201a0981cfcf463d9c50ea27d502110f,bad27f523cf8cb0b2dc22f6d2f35eaa18bc2776e,1,01/12/09,01/12/09,4,"Access to an internal IDEWorkbenchPlugin is discouraged, replaced with ResourcesPlugin.","Access to an internal IDEWorkbenchPlugin is discouraged, replaced with
ResourcesPlugin.

Change-Id: I5018018e97d0c5305e265feb47105fc8c676e391",0,0,0,1,0,0,1,0,0
120,I59d5dd2cf9e608182c2a36f8e5b9d32aba8f9ea6,https://git.eclipse.org/r/#/c/120,2,43044d7c76e2c162f2fb932a3b03378612819190,64bdaa7fd8a042acd1dbd94bca5e59e5746d05cf,1,03/12/09,03/12/09,2,"fix ""<missing argument>"" display in compare editors","fix ""<missing argument>"" display in compare editors

Signed-off-by: Stefan Lay <stefan.lay@sap.com>",0,0,0,0,0,0,0,0,0
121,I50f1287b72aca6defc044a8dd47b233d8c3a40e3,https://git.eclipse.org/r/#/c/121,4,f2671cd614d2756b83a76cac40fcca555df7e524,a9749b2045a04112c35930175f78be7d0449e1e6,1,30/12/09,30/12/09,34,"Implement ""Compare with Revision"" action","Implement ""Compare with Revision"" action

Signed-off-by: Stefan Lay <stefan.lay@sap.com>",0,1,0,0,0,0,1,0,0
122,Ib3f979bd17875a9bf6e424b29ad85b00838cc3d9,https://git.eclipse.org/r/#/c/122,5,81f0f9d647a769d68a1e4cd10572fdba9eb95384,aa10057f1951b86c782b2ad9ea99fe3c545a30e3,1,17/02/10,17/02/10,211,"Implement ""Compare with Revision"" feature in history view","Implement ""Compare with Revision"" feature in history view

Signed-off-by: Stefan Lay <stefan.lay@sap.com>",0,1,0,0,0,0,1,1,1
124,I1623d110cc1176c37f54fda190c3265f5717191e,https://git.eclipse.org/r/#/c/124,2,14dcc33a4351ea2664b4459e02644c80a093abdd,1a10da3711bddb3a2806ba1c83587a1140fed81e,1,03/12/09,03/12/09,3,Fixes Bug 296463: Sharing a Git project with .git directly below project no longer works,"Fixes Bug 296463: Sharing a Git project with .git directly below project
no longer works

The method findActualRepository of ConnectProviderOperation searches
for a RepositoryMapping with the path ""..\\.git"". However, the
RepositoryMapping stores the path with a /: ""../.git"".

Signed-off-by: Stefan Lay <stefan.lay@sap.com>",0,0,0,0,0,0,0,0,0
133,I0d39eaa63670030b495148a4cf2a57add7185f89,https://git.eclipse.org/r/#/c/133,4,b402c566d2d10c3811fd6f5ac7d08412c754c868,3b8a61ef35707cfbf5bfb125c531272ffc6fd76a,1,30/12/09,30/12/09,38,Implement GIT_CEILING_DIRECTORIES for eclipse.,"Implement GIT_CEILING_DIRECTORIES for eclipse.

If this environment variable is set it will be interpreted as a list
of directories above which which the Git Team Provider does not search
for repositories.

The key here is ""search"". By explicitly pointing at a repository it can
still be used, regardless of where it is located.

This feature is mostly useful for testing, but can possibly be used to cut
of scans into network directories, which is the original rationale for the
implementation in C Git.

Change-Id: I0d39eaa63670030b495148a4cf2a57add7185f89
Signed-off-by: Robin Rosenberg <robin.rosenberg@dewire.com>",0,1,0,0,0,1,1,0,0
135,Idec24de111aa21a022654c443376e42ae6caa7cc,https://git.eclipse.org/r/#/c/135,4,2fd74ac2d4c9e1980ca943022ce465fe81a5b72f,20fe3502f1d663de5d3057f00b9658041bf03580,0,30/12/09,30/12/09,309,Flipped EGit to manifest-first maven-3/tycho build,"Flipped EGit to manifest-first maven-3/tycho build

New org.sonatype.tycho groupId https://issues.sonatype.org/browse/TYCHO-312
Workaround for https://issues.sonatype.org/browse/TYCHO-168

Removed checkNotNested. Conventional maven project layout results in the following
repository nesting

parallelip-egit <= egit source tree root
  /.git
  /org.eclipse.egit.core.test
    /target
      /work
        /data <= test workspace
          /.git
          /.metadata
          /Project-1

Disable checkNotNested as a short term solution, but in the long term we need to
reintroduce this check with mechanisms like Git's GIT_CEILING_DIRECTORIES to make
sure it does not produce false positive during maven build.

Change-Id: Idec24de111aa21a022654c443376e42ae6caa7cc
Signed-off-by: Igor Fedorenko <igor@ifedorenko.com>",0,1,0,0,0,0,1,NA,NA
137,Ibc4c7a5ad6d9747fceb516c02d96dfc2b09d3b5a,https://git.eclipse.org/r/#/c/137,6,930c0137c5e4356c44b0f203b2171fc27d167732,fa594a90fb0ab4d74060d7cd6ba0e002ef41c14e,1,02/02/10,02/02/10,1163,Create an automatic UI test for the Git Import Wizard,"Create an automatic UI test for the Git Import Wizard

Things like dialogs and such require a different approach. The
strategy is to use SWTBot for runnings UI-oriented tests.

Change-Id: Ibc4c7a5ad6d9747fceb516c02d96dfc2b09d3b5a
Signed-off-by: Robin Rosenberg <robin.rosenberg@dewire.com>",0,1,0,0,1,1,1,2,1
141,Ie64d9e82609a62e4a117ed9e35156837b5d7b5b2,https://git.eclipse.org/r/#/c/141,6,0e807639675e02c47406e7f013c96891b1624b8c,3e41a26070d382cfe650b5c5c2d464303328098e,1,05/01/10,05/01/10,78,"Fix sharing wizard page ""Select Git Repository Location""","Fix sharing wizard page ""Select Git Repository Location""

- enable selection of alternative repository mappings, this was not
  possible since treeItem didn't show selectable text in first column
  (Bug 296807)
- re-establish multi-selection by displaying most likely mapping on
  tree top level and avoiding tree if only one git dir found (bug 297139)
- fix rendering of git directory in column Repository
  - on Windows drive name was displayed in relative path
    e.g. C:.git instead of .git
  - on Windows backslash was used as separator before .git
    which is inconsistent:
      e.g. src/org\.git instead of src/org/.git

Bug: 296807, 297139
Change-Id: Ie64d9e82609a62e4a117ed9e35156837b5d7b5b2
Signed-off-by: Matthias Sohn <matthias.sohn@sap.com>",0,1,0,0,0,0,1,0,0
142,Ib34b87e9c744a6256cf798e9a86c144fc77a61be,https://git.eclipse.org/r/#/c/142,4,cca1a08439e24c9bc9419e27dbf0989972c8571e,1c35b018f55e8ea8b991b0225a536b013483f679,1,07/02/10,07/02/10,7,Stop prompting user to amend previous commit if no previous commits exist,"Stop prompting user to amend previous commit if no previous commits exist

Do ask user if they want to amend a previous commit if no previous commits exist.

Bug: 297265
Change-Id: Ib34b87e9c744a6256cf798e9a86c144fc77a61be
Signed-off-by: Charley Wang <chwang@redhat.com>
Signed-off-by: Matthias Sohn <matthias.sohn@sap.com>",0,1,0,0,0,0,1,0,0
150,Ia2e941d3ef6eed04f3f6f761e8095ec6edc5fa9d,https://git.eclipse.org/r/#/c/150,2,c9b788c652ca4b31eff2df604983cec6aeab5df8,9ecd4192c3adba825a6918766f2e5b5b9074b812,0,23/01/10,23/01/10,37,Create an archived update site,"Create an archived update site

Running 'mvn package' will create a ZIP archive with update site's
content.

Change-Id: Ia2e941d3ef6eed04f3f6f761e8095ec6edc5fa9d
Signed-off-by: Mykola Nikishov <mn@mn.com.ua>",0,0,0,0,0,0,0,NA,NA
160,I2089e9fcc557aa50553d4b4458234e56531fea1f,https://git.eclipse.org/r/#/c/160,3,9c440138c66f4e9c2f9f904165399b93e23e7b8d,0e39c827b9d8668433079162cba6b8b1997b6dad,1,01/02/10,01/02/10,156,Font and color decoration.,"Font and color decoration.

Implemented font and colour decoration. The same font and colour is used
for all uncommitted changes, i.e. resources that have differencies from
their corresponding index files and resources that are not tracked by git
(and are not ignored). Most of the plumbing code was shamelessly copied
from CVSLightweightDecorator.

Change-Id: I2089e9fcc557aa50553d4b4458234e56531fea1f
Signed-off-by: Igor Fedorenko <igor@ifedorenko.com>",0,0,0,0,0,0,0,0,0
162,I5eb0a867b2d6fa8e1f63abfa2291950507fdf3f3,https://git.eclipse.org/r/#/c/162,3,6f14abf8bcf30d243867a1aa3a8bc27a7598fa5b,39248605232f7c00f1e28fc4de0551b526948745,1,11/02/10,11/02/10,63,Fix enabling team operations on project import,"Fix enabling team operations on project import

The old code only worked if .git directory was one level above
the Eclipse projects being imported.

Bug: 298027
Change-Id: I5eb0a867b2d6fa8e1f63abfa2291950507fdf3f3
Signed-off-by: Matthias Sohn <matthias.sohn@sap.com>",0,0,0,0,0,0,0,0,0
166,Ifa4d7b4a632ff4befade45deb8ec3242a425931e,https://git.eclipse.org/r/#/c/166,3,5e62b6c21ff0df670a0886681980e1f0b7071d4a,3f1fea5a2e3c30d98dc87b24e630b9c25ed2ea0f,1,30/12/09,30/12/09,11,Quick diff against git head used to fail if the project itself has no git repository mappings but resources inside the project do have mappings. Now get repository mappings for a single resource to be diffed and not the whole project.,"Quick diff against git head used to fail if the project itself has no
git repository mappings but resources inside the project do have mappings.
Now get repository mappings for a single resource to be diffed and not
the whole project.",0,0,0,1,0,0,1,0,0
168,I3bdf1186b7c5f4f14370109f1afdb5bdd97d4db9,https://git.eclipse.org/r/#/c/168,2,625e1f22e3e50c631b7871535e1a70a162860902,22ffcc2639199f66f92524eb0f3b0ee394763fc1,0,31/12/09,31/12/09,92,Adapt to JGit build which switched to Apache Felix maven-bundle-plugin,"Adapt to JGit build which switched to Apache Felix maven-bundle-plugin

- add JGit plugin to EGit feature since JGit feature has been removed
- configure p2 resolver to refer to org.eclipse.jgit pom-first artifact as
  described in [1]
- add maven build output folders to .gitignore

[1] https://docs.sonatype.org/display/TYCHO/Dependency+on+pom-first+artifacts

Change-Id: I3bdf1186b7c5f4f14370109f1afdb5bdd97d4db9
Signed-off-by: Matthias Sohn <matthias.sohn@sap.com>",0,0,0,0,0,0,0,NA,NA
169,I3368871375619a4da06cafb2131b1d14996a8234,https://git.eclipse.org/r/#/c/169,1,a5d703e95874b1e048db4a0afc1415bb6e8e5484,027d133923650637d3d9cd73289de13da82608f1,0,30/12/09,30/12/09,20,Merge commit 'refs/changes/68/168/2' of git://egit.eclipse.org/egit,"Merge commit 'refs/changes/68/168/2' of git://egit.eclipse.org/egit

Conflicts:
	org.eclipse.egit.core.test/src/org/eclipse/egit/core/test/GitTestCase.java",1,0,0,0,0,0,1,NA,NA
171,Ibb0ce8ed3a0c6bbd96e019d270acbb1328f98a04,https://git.eclipse.org/r/#/c/171,1,5becaae908bf69498bb8d470d2a181a97e54c7f7,5bd14ea55101b8fba6943ffd26de782b0c57f91e,0,08/01/10,08/01/10,40,Remove double reflog updates from EGit reset operations,"Remove double reflog updates from EGit reset operations

Those double updates creates inconsistencies in the log. Some
programs, like gitk, will (correctly) detect and complain about this.

Change-Id: Ibb0ce8ed3a0c6bbd96e019d270acbb1328f98a04
Signed-off-by: Robin Rosenberg <robin.rosenberg@dewire.com>",0,0,0,0,0,0,0,NA,NA
172,Ia0bf83a776103f59d956901da8078b4d48996254,https://git.eclipse.org/r/#/c/172,1,5bd14ea55101b8fba6943ffd26de782b0c57f91e,1dc5d884d937588a436abc4b7f0c7726bf3bc813,1,08/01/10,08/01/10,2,"Use the correct prompt string for the the ""new branch"" dialog.","Use the correct prompt string for the the ""new branch"" dialog.

Change-Id: Ia0bf83a776103f59d956901da8078b4d48996254
Signed-off-by: Robin Rosenberg <robin.rosenberg@dewire.com>",0,0,0,1,0,1,1,0,0
173,Ie920b3b4dc83ce35a005fe3b4bcf875d33f57499,https://git.eclipse.org/r/#/c/173,1,788ec8f3930afa959c100e78d7784148dd28d261,c4a09a6f3b0995060ad342a465dfd306a4cce576,0,13/01/10,13/01/10,16,Improve usability of sharing wizard,"Improve usability of sharing wizard

Having an ellipsis in the ""Create..."" button's text gives users the assumption
that a dialog will come up before the real action is triggered hence the ellipsis
is removed.

In order to improve consistency the label for the "".git"" postfix is enabled together
with the edit field for the repository to be created.

Bug: 292592
Change-Id: Ie920b3b4dc83ce35a005fe3b4bcf875d33f57499
Signed-off-by: Matthias Sohn <matthias.sohn@sap.com>",0,0,0,0,0,0,0,NA,NA
197,Iae4c99b142de74e278876ff086f8eab6e9fde4a4,https://git.eclipse.org/r/#/c/197,2,0b544ea845537461ed0a5f3e1bbf39d9b41a4838,0c4ad93a63dc6f31364ee6afffad3ca0d9b041f7,1,23/01/10,23/01/10,38,Update EGit to match ref API changes,"Update EGit to match ref API changes

JGit changed the way some ref updates are exposed to applications:

  * getOrigName() is now just getName()
  * Ref is an abstract class, use getRef instead to find HEAD.
  * writeSymref() has been replaced by RefUpdate

This commit depends upon the following JGit changes:
  * I1093e1ec2970147978a786cfdd0a75d0aebf8010
  * I26b9287c45a4b2d2be35ba2849daa316f5eec85d

Change-Id: Iae4c99b142de74e278876ff086f8eab6e9fde4a4
Signed-off-by: Shawn O. Pearce <spearce@spearce.org>",1,0,0,0,0,0,1,0,0
199,Ic29b3e38745c47a6482ba0ff3d5d85303a04dcba,https://git.eclipse.org/r/#/c/199,2,6efbeeff937127f5c6c8b345731f29579402dbd0,15615a85b3eb7c9cb1962966afcabc17dc6c018c,0,13/01/10,13/01/10,2,Fix bad title for the branch selection page in the Git import wizard,"Fix bad title for the branch selection page in the Git import wizard

Change-Id: Ic29b3e38745c47a6482ba0ff3d5d85303a04dcba
Signed-off-by: Robin Rosenberg <robin.rosenberg@dewire.com>",0,0,0,1,0,1,1,NA,NA
204,I1f01c420bf94681560d2ab2153728305767576ef,https://git.eclipse.org/r/#/c/204,1,f3eae5d33769ebe18e7cb755f893b3d2f1187205,10d9a9b0f8f474f4e902eb4f6f2ee19d498c9b31,0,13/01/10,13/01/10,0,"Merge ""Improve usability of sharing wizard""","Merge ""Improve usability of sharing wizard""

* git://egit.eclipse.org/egit:
  Improve usability of sharing wizard",1,0,0,0,0,0,1,NA,NA
