revision_num,change_id,url,iteration_count,before_commit_id,after_commit_id,at_least_one_updated_java_file,T(created),T(merged),LOC changed,subject,message,cr_smell_lack_of_cr,cr_smell_ping_pong,cr_smell_sleeping_reviews,cr_smell_missing_context,cr_smell_large_changesets,cr_smell_review_buddies,at_least_one_cr_smell,code_smells_difference_count,is_increased,
3640,If1db3a8578e2d8603e0c6dbbe781ed7258908eee,http://review.couchbase.org/#/c/3640,1,3a1c031a9c8df1adb1997f4a92aa1749967c3e94,8177a4ffb94e0b934dfc0919ef279d90beb92093,1,12/11/10,07/01/11,2,Minor performance improvement for bulk gets.,"Minor performance improvement for bulk gets.

If the size of an ArrayList is known before construction, then pass
the size to the constructor.  This will either save a tiny bit of
memory or save reallocation's, depending upon the number of elements
that will be inserted into the ArrayList.

Change-Id: If1db3a8578e2d8603e0c6dbbe781ed7258908eee",0,0,0,0,0,0,0,0,0,
3641,Ibd3638e574f9bd0c0928af5bada53de72a59e9f1,http://review.couchbase.org/#/c/3641,2,472fd3866bcf82abea2a10f3e2769fdc6a549b8b,cefc42a8b440304d33f64ae3838c2259f7e5baf6,1,12/11/10,09/01/11,4,Tiny performance improvement.,"Tiny performance improvement.

It's OK to have the method return an interface, but use the concrete
class name in the method so it doesn't need to invoke the methods
through the interface.

Change-Id: Ibd3638e574f9bd0c0928af5bada53de72a59e9f1",0,0,0,0,0,0,0,0,0,
4204,I60228433bfa121ed031dd81fc05a9d65cae5bf20,http://review.couchbase.org/#/c/4204,6,51b6024f11295e47e79d8ddccab2e0f223b1df5b,0a48855ca547d9b57350c7a80f8ffe002b491210,1,03/01/11,10/01/11,107,Do not write timedout operations to the MemcachedNode.,"Do not write timedout operations to the MemcachedNode.

This commit and related ones add support to an operation to
have new methods and a state of TIMEDOUT.  The intent is to
keep track of when an operation is created and if it either
times out due to a latch timeout expiration or it is found
to be already too old when thinking about sending the op
to the network, just consider it timed out then and there.

Note, object creation time is actually possibly quite a bit
after when the request is made, depending on how that request
is made.  Any number of things could have happened in
between with GC, JIT, scheduling, etc.

Change-Id: I60228433bfa121ed031dd81fc05a9d65cae5bf20",0,1,1,0,0,1,1,2,1,
4206,Ic1344ef2df2ab0ba4c03b4e401a4f98436a39772,http://review.couchbase.org/#/c/4206,6,c2f67252f14cdcf7b8361ba904a220d3cb6f04f1,67221c24c5f95be63cbafb79db1dac00d5bf7a09,1,03/01/11,10/01/11,2,Recognize operation may be null at times.  e.g.: flush,"Recognize operation may be null at times.  e.g.: flush

Both the timeout changes from myself and some of the continuious timeout
changes from Boris assumed there would always be an operation.  In
some cases, like flush, that is not necessarily the case.

Looking at the existing code, there were lots of guards against null
access already, so I just continued that tradition.

The tradition may need to be broken though in the future.

Change-Id: Ic1344ef2df2ab0ba4c03b4e401a4f98436a39772",0,1,1,0,0,1,1,0,0,
4207,Ie53ca774458466d9a2e6f70e65ea6663699a9f6f,http://review.couchbase.org/#/c/4207,6,23069ca35238c9edd3495ae62e80fd452a66a41b,2bf29f376e1f16960fde84e63775935e55331b08,1,03/01/11,10/01/11,2,Increased default timeout to 2500ms.,"Increased default timeout to 2500ms.

The increase of the timeout to this seemingly high value is due to
a few findings.

First, by default, garbage collection times may easily go over 1sec.
Testing with simple toy tests shows this quite clearly, even on
systems with lots of CPUs and a decent amount of memory.  Of course,
much of this can be controlled with GC tuning on the JVM.  With the
hotspot JVM, look to this whitepaper:
http://java.sun.com/j2se/reference/whitepapers/memorymanagement_whitepaper.pdf

Testing showed the following to be particularly useful:
-XX:+UseConcMarkSweepGC -XX:MaxGCPauseMillis=850

There is a CPU time tradeoff for this.

Even with these, testing showed some 1 second timeouts when GCs near a
half a second.  To use this software though, we shouldn't expect people
to have to tune the GC, so raising the default seems like the
right thing to do.

Second, many systems use spymemcached on virtualized or cloud environments.
The processes running there do not have any guarantee of execution
time.  It'd be really unlikely for a thread to be starved for more than
a second, but it is possible and shouldn't make things stop.  Raising this
a bit will help.

Third, and perhaps most importantly, most people run applications on
networks that do not offer any guarantee around response time.  If
the network is oversubscribed or even minor blips occur on the network
can cause TCP retransmissions.  While many TCP implementations ignore
it, RFC 2988 specifies rounding up to 1sec when calculating
TCP retransmit timeouts.  Blips will occur, and rather than force
this seemingly synchronous get to timeout, it may be better to
just wait a bit longer by default.

Change-Id: Ie53ca774458466d9a2e6f70e65ea6663699a9f6f",0,1,1,0,0,1,1,0,0,
4208,I81530461187509026cc18e995b3ceddcc3c76afb,http://review.couchbase.org/#/c/4208,6,222724ac6ee2d4895ef603bb1c0aa690bbdf1d9a,9babe2c4153aba1c80721eb020a30a4cc5ac60b5,1,03/01/11,10/01/11,90,Test for timeout from operation epoch.,"Test for timeout from operation epoch.

Change-Id: I81530461187509026cc18e995b3ceddcc3c76afb",0,1,1,1,0,1,1,0,0,
4209,I4d9a13f55ec0c15ebb07c924584aa33492a57a12,http://review.couchbase.org/#/c/4209,6,ac16c99e48ed0dabed5875ddbdc7240eadeb44cb,7360f1931a9a023b6868e7be85311365c35964e7,0,03/01/11,10/01/11,16,Fix for stats sizes test.,"Fix for stats sizes test.

Change-Id: I4d9a13f55ec0c15ebb07c924584aa33492a57a12",0,1,1,1,0,1,1,NA,NA,
4210,I81473b25cfd4aa73c8c4473c1f337338162a0222,http://review.couchbase.org/#/c/4210,6,861602e1b009dfd30a540a92f9908172a3811c98,13c55ad3f5f87e76b10aa3361ce421e17fcdb452,1,03/01/11,10/01/11,4,Test fixes after adding new timeout logic.,"Test fixes after adding new timeout logic.

Several tests were expecting things to happen within 1ms,
which is too short.  The new timeout functionality made these
tests fail, where before they'd pass.

Change-Id: I81473b25cfd4aa73c8c4473c1f337338162a0222",0,1,1,0,0,1,1,0,0,
4211,If1fbe77aa02f7cacabca91915927bf7b5e086284,http://review.couchbase.org/#/c/4211,6,4aeca26039b54e80fcce0ba94d3b1eeb933d63b2,d2701b0ac6f0ef7ce4e9e0dc3da7f6b26641824c,0,03/01/11,10/01/11,49,Fixes to testSyncGetTimeouts.,"Fixes to testSyncGetTimeouts.

Previous to enforcing the timeouts at an operation level, this test
would pass.  In fact, Dustin said the test had never failed before.

However, it turns out that the really short default timeouts would
be too short and not waiting a bit after encountering a timeout would
still see timeouts.

Change-Id: If1fbe77aa02f7cacabca91915927bf7b5e086284",0,1,1,0,0,1,1,NA,NA,
4212,Ia02b5bf6a91cf987dae3fc9faf02a41751653773,http://review.couchbase.org/#/c/4212,6,ad4b220657561c6823960a6472c86b520e766748,0a8e4d646b2c0955ae97875ace314b0a5443d429,1,03/01/11,10/01/11,16,Add a TIMEDOUT state to ops and make callbacks correct.,"Add a TIMEDOUT state to ops and make callbacks correct.

There would be some situations where the latch would not expire
due to the callback not having been called.  Callbacks were
typically called on state transition for the operation, so I
thought it appropriate to add a TIMEDOUT state.

Change-Id: Ia02b5bf6a91cf987dae3fc9faf02a41751653773",0,1,1,0,0,1,1,0,0,
4231,I54bdc264566684208e5273ce51d56f38d14be852,http://review.couchbase.org/#/c/4231,1,5e9cd8d21565759b1c1fcf21e21fee0a9f648d8f,891e5e8a41d76ef9020399939b01dbb0ada2b2d6,1,10/01/11,11/01/11,5,Some import cleanups.,"Some import cleanups.

Change-Id: I54bdc264566684208e5273ce51d56f38d14be852",0,0,0,1,0,0,1,0,0,
4232,I2bedcea366bca83597cc9863da9c63a9966eeee9,http://review.couchbase.org/#/c/4232,1,891e5e8a41d76ef9020399939b01dbb0ada2b2d6,cc8742ed121af92acd9d226073975e0fd9b2d565,1,10/01/11,11/01/11,4,Avoid potential NPE as reported by eclipse.,"Avoid potential NPE as reported by eclipse.

Change-Id: I2bedcea366bca83597cc9863da9c63a9966eeee9",0,0,0,1,0,0,1,0,0,
4248,Ie64aa5bedcbe36b4717c17750a63a08a7de1f12e,http://review.couchbase.org/#/c/4248,1,cc8742ed121af92acd9d226073975e0fd9b2d565,dc7abe1f77e1e3843dc44136ab9dfbbf31b91ad3,0,12/01/11,12/01/11,8,Catch RuntimeException instead.,"Catch RuntimeException instead.

Timeouts from the get() without a time value specified will return
simply a RuntimeException, while those from calling the get() with
a time value can receive a TimeoutException.

This also removes some debugging traces that were left in
unfortunate places which could also cause test failures.

Change-Id: Ie64aa5bedcbe36b4717c17750a63a08a7de1f12e",0,0,0,0,0,1,1,NA,NA,
4612,Ia097e245b5be75926165c4e482a86c92a80b5fa0,http://review.couchbase.org/#/c/4612,3,dc7abe1f77e1e3843dc44136ab9dfbbf31b91ad3,a98e571a165a78b6d52cc733c41ed99ad8ae29b2,1,17/02/11,02/03/11,4,Changed transcoder logging to more appropriate defaults.,"Changed transcoder logging to more appropriate defaults.

Change-Id: Ia097e245b5be75926165c4e482a86c92a80b5fa0",0,0,0,1,0,1,1,0,0,
4752,Ib4051608631d976487ab8114083f6d32d35258a7,http://review.couchbase.org/#/c/4752,3,e42a4403e32637eb7a6e7670c718b61bd4044718,184d2cac5852e713e332031ecbf3c5b77ece7dfb,1,28/02/11,07/03/11,186,Added a Spring FactoryBean for simplifying MemcachedClient creation in a Spring applications. This is a patch for http://code.google.com/p/spymemcached/issues/detail?id=164,"Added a Spring FactoryBean for simplifying MemcachedClient creation in a Spring applications. This is a patch for http://code.google.com/p/spymemcached/issues/detail?id=164

Change-Id: Ib4051608631d976487ab8114083f6d32d35258a7",0,0,0,1,0,0,1,0,0,
5201,I7f4eece7d52638c92b305b0f2af35c458e57b0d3,http://review.couchbase.org/#/c/5201,2,b95a2f179f1bee0e497c7700b3e4fd4d1d5047ed,be17f8baf6f7feed30ecd7b0fdda342103247e81,1,04/04/11,19/04/11,2,Warn when redistribute cannot find another node.,"Warn when redistribute cannot find another node.

Change-Id: I7f4eece7d52638c92b305b0f2af35c458e57b0d3",0,0,1,1,0,0,1,0,0,
5202,Ie1b2deffd89e778f5ac0ec4762e73fe5b852f66a,http://review.couchbase.org/#/c/5202,2,4793b58f0c514c6c359294608ceb01f0bcac7eba,2d73dd15ca23fe2b325536ef6f3254af86dfdebf,1,04/04/11,19/04/11,2,Fixed small log typo.,"Fixed small log typo.

Change-Id: Ie1b2deffd89e778f5ac0ec4762e73fe5b852f66a",0,0,1,1,0,0,1,0,0,
5203,If32de603bdb597db993a22b47ffbe3367e566488,http://review.couchbase.org/#/c/5203,2,118acf5f03a14884d32bc68d16dc936b19240211,1c1dac6eb6fbf1a36b70c5774958d1a7ab8f22c5,1,04/04/11,19/04/11,18,Added ability to see if op unsent but timedout.,"Added ability to see if op unsent but timedout.

Change-Id: If32de603bdb597db993a22b47ffbe3367e566488",0,0,1,1,0,0,1,0,0,
5204,Ie7256580316f08f7bff676525cead3dd872878e1,http://review.couchbase.org/#/c/5204,2,f2727bf60114476d490332586db7d9752439a6b3,174c13226f98b223c3e5224f10e57300e6db6371,1,04/04/11,19/04/11,2,Fixed minor comment formatting.,"Fixed minor comment formatting.

Change-Id: Ie7256580316f08f7bff676525cead3dd872878e1",0,0,1,1,0,0,1,0,0,
5205,Ibac73fa9816855976b80fd7248b63f36eb2c1b44,http://review.couchbase.org/#/c/5205,2,13eeadd299cf777e5ae83cf33778bd987f1fdee0,e8b2ec7fe24fc5a95e1f72b9f169d44cd27472fd,1,04/04/11,19/04/11,16,Fixed cancellation issue.,"Fixed cancellation issue.

It was found that an operation which had been canceled would
block the rest of the queue from being processed.  This needs
to be removed from the queue so the other data may flow.

Change-Id: Ibac73fa9816855976b80fd7248b63f36eb2c1b44",0,0,1,0,0,0,1,0,0,
5206,I0c8102bf737226c054662b043661ec97907a283b,http://review.couchbase.org/#/c/5206,2,607d09a44323e713e17a93122c216af4377e3b7d,3c97a4a5ca9333d1d3e42145b1bfa199853611cd,1,04/04/11,22/04/11,214,Separate the KetamaIterator for future dynamic configuration.,"Separate the KetamaIterator for future dynamic configuration.

Some future implementations may want to have dynamic changes to
the nodes list, so the KetamaIterator has been refactored to its
own class so it can be replaced while a client is instantiated.

Change-Id: I0c8102bf737226c054662b043661ec97907a283b",0,0,1,0,0,1,1,0,0,
5207,I6fa52c0b02516b68ca8da26e4fd85bb1730b82b2,http://review.couchbase.org/#/c/5207,2,12c3c0b506d1915ef51da74dd9b9943615f7ddde,3f6d27c946077ee2c5e9882cfd0d2e2f13bae086,1,04/04/11,22/04/11,18,Search more with the KetamaIterator.,"Search more with the KetamaIterator.

The existing KetamaIterator implementation, with a small number
of nodes, may actually hit the same down node multiple times in
a row leading to failing to find a node when it should find
another one.

The original libketama[1] hashes each server to 160 numeric
values.  These are spread out in a 64-bit value.  The key is
then hashed to a numeric value within that 64-bit value and
walked forward until it finds a server.

Previously, this library's ketama implementation would only look
in the consistent hash for a number of iterations limited by the
number of servers.  With two servers (similar to flipping a
coin, you'd get heads twice in a row sometimes) you would have
a 1 in 4 chance of picking the same dead server twice.

The new implementation will iterate based on the number of
servers, but attempts to keep the probability of hitting the
same dead server to less than 1% for a two node configuration.
This will guarantee less than 1% possibility with two or more
servers.

Because we iterate by simply appending the number of tries on
the front of the key, we'll be quite random about where in
the continuium we hit.  Each selection is rather random, but
for a set of results already calculated, half of which are
alive and half of which are dead, we can say that in seven
iterations, there is only a 1/128 [1/(2^7)] chance that we
would not select once at least one alive server.  The
probability for any given test still 1/2, but we can describe
the probability of the iterations.  The key info on this came
from the ""gambler's fallacy""[2].

1. https://github.com/RJ/ketama/blob/master/libketama/ketama.c
2. http://en.wikipedia.org/wiki/Gambler's_fallacy

Other references:
http://answers.google.com/answers/threadview/id/568615.html
http://en.wikipedia.org/wiki/Combinations

Change-Id: I6fa52c0b02516b68ca8da26e4fd85bb1730b82b2",0,0,1,0,0,1,1,0,0,
5502,If1ba6292d78e389cdd83a191bb65c88e31e49886,http://review.couchbase.org/#/c/5502,1,3f6d27c946077ee2c5e9882cfd0d2e2f13bae086,451a40f83646f528859fb6f337359c8be50e4d2d,1,19/04/11,22/04/11,5,Increase the maximum size allowed.  Issue 106.,"Increase the maximum size allowed.  Issue 106.

Though memcached still has a 1MiB size by default (overridable
with a flag), other engines may have their own maximum.  Membase
for instance has a 20MiB maximum.

At least for the remainder of the 2.6 series, rather than do
deep surgery on this issue, just bump up the maximum.

Change-Id: If1ba6292d78e389cdd83a191bb65c88e31e49886",0,0,1,0,0,1,1,0,0,
6074,I3e7bb000b12a63b4a299cb8b79a3151fbfc91615,http://review.couchbase.org/#/c/6074,1,bd67045a9637e7cd92b58db2c2e90c7835aaacf9,475bb2c2df03976f5ba31fb79593f1839354e159,1,08/05/11,10/05/11,10,Increase the maximum size allowed.  Issue 106.,"Increase the maximum size allowed.  Issue 106.

Though memcached still has a 1MiB size by default (overridable
with a flag), other engines may have their own maximum.  Membase
for instance has a 20MiB maximum.

Note that the size enforced by the transcoder can be overridden
through it's ctor.  The reason for making this change is to
create a new, larger default.

At least for the remainder of the 2.6 series, rather than do
deep surgery on this issue, just bump up the maximum.

Change-Id: I3e7bb000b12a63b4a299cb8b79a3151fbfc91615",0,0,0,0,0,1,1,0,0,
6091,I2244a24a051b1b90e4142fa01785ae7e095ed87f,http://review.couchbase.org/#/c/6091,1,9c314aa490a5a0757977c8da878b53593b30d430,a2de928ef052d2bd262482bcdba6900b04c365d3,1,09/05/11,11/05/11,6,"Do not use generics with Spring Factory Bean, be 2.5 compatible.","Do not use generics with Spring Factory Bean, be 2.5 compatible.

To be backward compatible with Spring 2.5, the Factory Bean should
avoid the use of generics.

Change-Id: I2244a24a051b1b90e4142fa01785ae7e095ed87f",0,0,0,0,0,1,1,0,0,
6151,Ic3cddeedb76ce096569a34e3d8024be06bd4bd62,http://review.couchbase.org/#/c/6151,1,1f95ec65ee0de12acbaa61633ef2c0529b43077d,1a641e5bd992e8ce13fc724bde6ebe311d2c69e1,1,11/05/11,11/05/11,5,Compilation fix after spring de-generification.,"Compilation fix after spring de-generification.

Change-Id: Ic3cddeedb76ce096569a34e3d8024be06bd4bd62",0,0,0,1,0,0,1,0,0,
6152,I295d7b6b301217866f1074c526cdeba6d60420ab,http://review.couchbase.org/#/c/6152,1,1a641e5bd992e8ce13fc724bde6ebe311d2c69e1,2cab9455f2ff6e92220b6b0be3aecbcbb1641f95,1,11/05/11,11/05/11,9,Removed a bit of dead test code.,"Removed a bit of dead test code.

Change-Id: I295d7b6b301217866f1074c526cdeba6d60420ab",0,0,0,1,0,0,1,0,0,
6208,Iee37db23f4a5d02328f8dc62253a87895857f59d,http://review.couchbase.org/#/c/6208,1,2cab9455f2ff6e92220b6b0be3aecbcbb1641f95,43b0942736e54fb0fde25be5ccc6daf9291820db,0,13/05/11,18/05/11,10,Buildfile changes to support Maven 2 artifact upload.,"Buildfile changes to support Maven 2 artifact upload.

This build file change slightly redefines the artifacts from
memcached to spymemcached.  This feels right to me.

I've tested the resulting upload with both NetBeans and Eclipse
Maven support.  I can tell war stories later.

Change-Id: Iee37db23f4a5d02328f8dc62253a87895857f59d",0,0,1,0,0,0,1,NA,NA,
6671,I8771917e47fd146a371ba33bed7b0ca31cfcbff1,http://review.couchbase.org/#/c/6671,11,84c9cd7206f5fdcdb04205657f3fedacd97b4a1e,2b010d3c70f56dc5b20b893155bd541f53c26a8b,1,31/05/11,03/06/11,463,Integrated jvbucket,"Integrated jvbucket

Added jvbucket 1.0 classes to the project

Change-Id: I8771917e47fd146a371ba33bed7b0ca31cfcbff1",0,1,0,0,0,1,1,1,1,
6672,I478b274e7901e8c1729c20fcc29577b8aff651af,http://review.couchbase.org/#/c/6672,8,fceb3ad2dc7ae782c9a4aab2dbc7f26a183f8958,428a75fe29dc97e14372ff667838e9eb9027b916,1,31/05/11,08/06/11,518,Added vbucket configuration parser from JSON.,"Added vbucket configuration parser from JSON.

This parser from JSON has several methods for parsing JSON, beans to
store configuration settings and unit tests.

Change-Id: I478b274e7901e8c1729c20fcc29577b8aff651af",0,1,0,0,1,1,1,4,1,
6673,I2fabbb02c298fd3d9c3b32c71d9b69b2a0123c7a,http://review.couchbase.org/#/c/6673,5,9214a8180f7227be970049416c83f465aa75704c,c1da6bd4894d71d4f756a75df2e581807b4bc2f0,1,31/05/11,08/06/11,45,"If it is membase, do not test some things.","If it is membase, do not test some things.

Change-Id: I2fabbb02c298fd3d9c3b32c71d9b69b2a0123c7a",0,1,0,1,0,1,1,0,0,
6674,I92472a89f15b9fdbe9725f8a9a4abb2d645a591c,http://review.couchbase.org/#/c/6674,6,8402985bdf145c07edadb326256bb78cab117ecd,41467ce0eef34c62dcaef73a29428893871430b3,1,31/05/11,08/06/11,648,Added bucket monitor with response handler.,"Added bucket monitor with response handler.

This adds a Bucket monitor with a response handler based on the netty
framework to read bucket's streaming channel. It passes the received
configuration to registered observers.

Change-Id: I92472a89f15b9fdbe9725f8a9a4abb2d645a591c",0,1,0,0,1,1,1,0,0,
6751,I8099dd7c85a45c81667e3a566995995dd3780b32,http://review.couchbase.org/#/c/6751,1,121b82f99ed7aea7a4a6e5a0859fa84952a3f8c2,15a481cecd1ece34c78852d1b9b61263c73bf5fe,1,03/06/11,03/06/11,9,Added TEMP_FAIL handling to set operations,"Added TEMP_FAIL handling to set operations

TMP_FAIL is sent to the client when the server is out of memory.
The current way of handling this error is to reconnect, but this
is no the correct way to handle a this error since the server will
be available soon.

There are other commands that should handle this as well, but right
now I am only submitting a fix for the set operation since this is
the operration that causes this error most frequently. We plan on
adding support for all known Membase commands in a future release.

Change-Id: I8099dd7c85a45c81667e3a566995995dd3780b32",0,0,0,0,0,1,1,0,0,
6753,Iee3045bdb58142dd44c9e8c723dffe7abdbcb230,http://review.couchbase.org/#/c/6753,11,15a481cecd1ece34c78852d1b9b61263c73bf5fe,77eafa3094fc10b31e4508e1b4a63421dc53d6d3,1,03/06/11,04/06/11,120,Added touch operation,"Added touch operation

Added an operation to reset the expiration time of a key. I have
tested this code thoughly and will check in the unit tests in a
later commit.

Change-Id: Iee3045bdb58142dd44c9e8c723dffe7abdbcb230",0,1,0,0,0,1,1,0,0,
6760,I202aa38d5c600f1e40febca02f303398a4600977,http://review.couchbase.org/#/c/6760,6,ed3753fd330f842428d3f96d2cec17bf2c030e65,ab1d255915085960458575e191fa967d04938fd7,1,04/06/11,08/06/11,4757,Add a configuration provider for bucket updates.,"Add a configuration provider for bucket updates.

Change-Id: I202aa38d5c600f1e40febca02f303398a4600977",0,1,1,1,1,1,1,-1,0,
